target_index,pixel_scale,FWHM,R_E,r_s_eff,N_pix_expected,A_expected,max_snr_expected,IC_joint_expected,N_pix,A,max_snr,IC_joint
117,0.1,0.4,0.608715483021355,0.160821834089118,95,0.9500000000000002,24.61409565979146,22.473616228232366,143,1.4300000000000004,26.008644338183533,33.82870653302346
118,0.1,0.4,0.6840465607653272,0.1539818876164854,20,0.20000000000000004,3.0411170915390953,5.5529790821002765,85,0.8500000000000002,4.562996992686583,23.600161098926176
119,0.1,0.4,1.2803304254855246,0.2751726893202942,0,0.0,1.1267898352243748,0.0,69,0.6900000000000002,3.4867644261246813,20.065308710485883
120,0.1,0.4,0.8689720553289909,0.2473847930027524,0,0.0,0.5669169162070934,0.0,68,0.6800000000000002,3.4742836664200856,14.92869141357093
121,0.1,0.4,0.7402609006331967,0.4657151848177053,0,0.0,1.0273493912255482,0.0,42,0.4200000000000001,3.187966874920567,4.172474781819195
122,0.1,0.4,0.4555195413406266,0.1614396331759056,96,0.9600000000000002,65.86691092265492,16.929654721562322,138,1.3800000000000003,65.9007284698316,24.33637866224584
123,0.1,0.4,0.786778209698671,0.1623671982704016,13,0.13000000000000003,2.533786180336531,3.937108616702061,100,1.0000000000000002,4.64994983413697,30.28545089770816
124,0.1,0.4,0.5644980932593757,0.380885711180672,0,0.0,1.1837685126810054,0.0,39,0.39000000000000007,3.642872604509862,3.6125379921827627
125,0.1,0.4,0.5538050755187685,0.3784309294033698,20,0.20000000000000004,2.5272173582420163,1.8292805651215258,80,0.8000000000000002,3.7995169150160355,7.317122260486103
126,0.1,0.4,0.5047202645103156,0.5164418874849603,29,0.29000000000000004,3.116876786336354,1.771361892971138,97,0.9700000000000002,5.58991847419263,5.924900124765532
127,0.1,0.4,0.4009479527908017,0.3726868490185542,14,0.14,2.5717052983360076,0.9413518604582836,65,0.6500000000000001,4.530267212261361,4.370562209270602
128,0.1,0.4,0.5289514780097119,0.1582102224767149,37,0.37000000000000005,3.064167290481579,7.731487091976544,101,1.0100000000000002,4.633043640151219,21.104870169990026
129,0.1,0.4,0.3633824112538755,0.1748396704133532,41,0.4100000000000001,2.936287751287604,5.325836102508113,86,0.8600000000000002,4.664019660710546,11.171265971114579
130,0.1,0.4,0.8330412719819037,0.1225185724917097,283,2.8300000000000005,32.10721313117938,120.2627258751071,340,3.400000000000001,32.04014176103923,144.4852537015421
131,0.1,0.4,1.0917359793374526,0.0818828719446545,53,0.5300000000000001,7.218759587215218,44.16522461498001,101,1.0100000000000002,8.323511515579199,84.16391860590531
132,0.1,0.4,0.529679623923611,0.4261102036559819,8,0.08000000000000002,2.3733826740438926,0.6215289136225959,57,0.5700000000000001,4.434713816082616,4.428393509560995
133,0.1,0.4,0.3488335317713625,0.2640079954165706,97,0.9700000000000002,3.880817724164185,8.010375909362132,143,1.4300000000000004,5.665325160353045,11.809110876688504
134,0.1,0.4,0.4597029781999323,0.4067137618499158,0,0.0,1.5183470207569205,0.0,64,0.6400000000000001,3.6577367069804008,4.521145054044868
135,0.1,0.4,0.5574544099470541,0.4894198184796083,0,0.0,1.4496637681251006,0.0,44,0.44000000000000006,3.154925800953563,3.1322794244758834
136,0.1,0.4,0.9519379386665652,0.3160637800630756,0,0.0,0.6249725489683067,0.0,43,0.4300000000000001,3.1946817257064675,8.094357441576625
137,0.1,0.4,0.5879131092494352,0.829408879823969,0,0.0,0.1674459152653647,0.0,52,0.5200000000000001,3.34717104511659,2.303710089848795
138,0.1,0.4,0.939571701202328,0.6843231758093716,6,0.06000000000000001,2.430200169198933,0.5148727975406497,71,0.7100000000000002,3.7238204637278858,6.092661437564354
139,0.1,0.4,1.005303282755461,0.1492311397839378,0,0.0,0.9129054551989241,0.0,71,0.7100000000000002,3.7707620690350807,29.893448000773855
140,0.1,0.4,0.697852358368076,0.1731595090584254,54,0.5400000000000001,2.7509134414788408,13.601630787123428,123,1.2300000000000002,4.573054012481737,30.9814923484478
141,0.1,0.4,0.8862433257222103,0.4234201960626219,82,0.8200000000000002,4.731488097571605,10.72692584473365,179,1.7900000000000003,6.560246997121353,23.416094222040527
